drug_name,side_effect
Alprazolam,somnolence
Alprazolam,dizziness
Alprazolam,dependence
Alprazolam,ataxia
Alprazolam,dry mouth
Alprazolam,cognitive impairment
Amlodipine,peripheral edema
Amlodipine,headache
Amlodipine,flushing
Amlodipine,dizziness
Amlodipine,fatigue
Amlodipine,palpitations
Amoxicillin,diarrhea
Amoxicillin,nausea
Amoxicillin,rash
Amoxicillin,vomiting
Amoxicillin,abdominal pain
Aspirin,dyspepsia
Aspirin,bleeding
Aspirin,tinnitus
Aspirin,nausea
Aspirin,bruising
Aspirin,gastric ulcer
Atorvastatin,myalgia
Atorvastatin,headache
Atorvastatin,diarrhea
Atorvastatin,nausea
Atorvastatin,elevated liver enzymes
Atorvastatin,arthralgia
Atorvastatin,nasopharyngitis
Azithromycin,diarrhea
Azithromycin,nausea
Azithromycin,abdominal pain
Azithromycin,headache
Azithromycin,vomiting
Bupropion,insomnia
Bupropion,dry mouth
Bupropion,headache
Bupropion,nausea
Bupropion,tremor
Bupropion,seizure
Bupropion,anxiety
Bupropion,weight loss
Bupropion,dizziness
Celecoxib,dyspepsia
Celecoxib,diarrhea
Celecoxib,headache
Celecoxib,peripheral edema
Celecoxib,hypertension
Celecoxib,abdominal pain
Ciprofloxacin,nausea
Ciprofloxacin,diarrhea
Ciprofloxacin,headache
Ciprofloxacin,dizziness
Ciprofloxacin,tendon rupture
Ciprofloxacin,rash
Ciprofloxacin,photosensitivity
Clopidogrel,bleeding
Clopidogrel,bruising
Clopidogrel,diarrhea
Clopidogrel,rash
Clopidogrel,dyspepsia
Diazepam,somnolence
Diazepam,fatigue
Diazepam,ataxia
Diazepam,dizziness
Diazepam,dependence
Diazepam,confusion
Diphenhydramine,somnolence
Diphenhydramine,dry mouth
Diphenhydramine,dizziness
Diphenhydramine,blurred vision
Diphenhydramine,constipation
Diphenhydramine,urinary retention
Duloxetine,nausea
Duloxetine,dry mouth
Duloxetine,constipation
Duloxetine,fatigue
Duloxetine,dizziness
Duloxetine,insomnia
Duloxetine,decreased appetite
Duloxetine,hyperhidrosis
Duloxetine,somnolence
Dutasteride,decreased libido
Dutasteride,erectile dysfunction
Dutasteride,ejaculation disorder
Dutasteride,gynecomastia
Dutasteride,breast tenderness
Enalapril,dry cough
Enalapril,dizziness
Enalapril,headache
Enalapril,hyperkalemia
Enalapril,hypotension
Enalapril,fatigue
Famotidine,headache
Famotidine,dizziness
Famotidine,constipation
Famotidine,diarrhea
Finasteride,decreased libido
Finasteride,erectile dysfunction
Finasteride,ejaculation disorder
Finasteride,gynecomastia
Finasteride,breast tenderness
Finasteride,rash
