drug_name,smiles,expected_formula
Alprazolam,CC1=NN=C2CN=C(c3ccccc3)c3cc(Cl)ccc3-n12,C17H13ClN4
Amlodipine,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,C20H25ClN2O5
Amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,C16H19N3O5S
Aspirin,CC(=O)Oc1ccccc1C(=O)O,C9H8O4
Atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccc(F)cc2)c(-c2ccccc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,C33H35FN2O5
Azithromycin,CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,C38H72N2O12
Bupropion,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,C13H18ClNO
Celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,C17H14F3N3O2S
Ciprofloxacin,OC(=O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,C17H18FN3O3
Clopidogrel,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,C16H16ClNO2S
Diazepam,CN1c2ccc(Cl)cc2C(=NCC1=O)c1ccccc1,C16H13ClN2O
Diphenhydramine,CN(C)CCOC(c1ccccc1)c1ccccc1,C17H21NO
Duloxetine,CNCCC(Oc1cccc2ccccc12)c1cccs1,C18H19NOS
Dutasteride,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H]1CC[C@H]2[C@@H]3CC[C@@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,C27H30F6N2O2
Enalapril,CCOC(=O)C(CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,C20H28N2O5
Famotidine,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,C8H15N7O2S3
Finasteride,CC(C)(C)NC(=O)[C@@H]1CC[C@H]2[C@@H]3CC[C@@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,C23H36N2O2
Fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,C17H18F3NO
Gabapentin,NCC1(CC(=O)O)CCCCC1,C9H17NO2
Hydralazine,NNc1nnc2ccccc2c1,C8H8N4
Hydrocortisone,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,C21H30O5
Hydroxyzine,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,C21H27ClN2O2
Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,C13H18O2
Lenalidomide,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,C13H13N3O3
Levothyroxine,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,C15H11I4NO4
Lisinopril,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,C21H31N3O5
Loratadine,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,C22H23ClN2O2
Losartan,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,C22H23ClN6O
Metformin,CN(C)C(=N)NC(=N)N,C4H11N5
Methylphenidate,COC(=O)C(C1CCCCN1)c1ccccc1,C14H19NO2
Metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1,C15H25NO3
Minoxidil,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],C9H15N5O
Modafinil,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,C15H15NO2S
Morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,C17H19NO3
Naproxen,COc1ccc2cc(C(C)C(=O)O)ccc2c1,C14H14O3
Olanzapine,Cc1cc2Nc3sccc3C(=Nc2cc1)N1CCN(C)CC1,C17H20N4S
Omeprazole,COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,C17H19N3O3S
Paroxetine,Fc1ccc(cc1)[C@H]1CCNC[C@@H]1COc1ccc2OCOc2c1,C19H20FNO3
Pomalidomide,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,C13H11N3O4
Prednisone,CC12CC(=O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO,C21H26O5
Pregabalin,CC(C)CC(CN)CC(=O)O,C8H17NO2
Propranolol,CC(C)NCC(O)COc1cccc2ccccc12,C16H21NO2
Quetiapine,OCCOCCN1CCN(CC1)C1=Nc2ccccc2Sc2ccccc21,C21H25N3O2S
Raloxifene,OC1=CC=C(C=C1)C1=C(SC2=CC(O)=CC=C12)C(=O)C1=CC=C(OCCN2CCCCC2)C=C1,C28H27NO4S
