drug_name,molecular_formula,molecular_weight,logp,h_bond_donors,h_bond_acceptors,tpsa,rotatable_bonds,ring_count
Alprazolam,C17H13ClN4,308.77,3.58,0,3,43.07,1,4
Amlodipine,C20H25ClN2O5,408.88,2.27,2,7,99.88,8,2
Amoxicillin,C16H19N3O5S,365.41,0.02,4,6,132.96,4,3
Aspirin,C9H8O4,180.16,1.31,1,3,63.6,2,1
Atorvastatin,C33H35FN2O5,558.65,6.31,4,4,111.79,12,4
Azithromycin,C38H72N2O12,749.0,1.9,5,14,180.08,7,3
Bupropion,C13H18ClNO,239.75,3.3,1,2,29.1,3,1
Celecoxib,C17H14F3N3O2S,381.38,3.51,1,3,77.98,3,3
Ciprofloxacin,C17H18FN3O3,331.35,1.58,2,4,74.57,3,4
Clopidogrel,C16H16ClNO2S,321.83,3.67,0,4,29.54,3,3
Diazepam,C16H13ClN2O,284.75,3.15,0,2,32.67,1,3
Diphenhydramine,C17H21NO,255.36,3.35,0,2,12.47,6,2
Duloxetine,C18H19NOS,297.42,4.63,1,3,21.26,6,3
Dutasteride,C27H30F6N2O2,528.54,6.58,2,2,58.2,2,5
Enalapril,C20H28N2O5,376.45,1.6,2,5,95.94,9,2
Famotidine,C8H15N7O2S3,337.46,-0.77,4,6,175.83,7,1
Finasteride,C23H36N2O2,372.55,3.81,2,2,58.2,1,4
Fluoxetine,C17H18F3NO,309.33,4.44,1,2,21.26,6,2
Gabapentin,C9H17NO2,171.24,1.37,2,2,63.32,3,1
Hydralazine,C8H8N4,160.18,0.92,2,4,63.83,1,2
Hydrocortisone,C21H30O5,362.47,1.78,3,5,94.83,2,4
Hydroxyzine,C21H27ClN2O2,374.91,3.06,1,4,35.94,8,3
Ibuprofen,C13H18O2,206.28,3.07,1,1,37.3,4,1
Lenalidomide,C13H13N3O3,259.26,0.03,2,4,92.5,1,3
Levothyroxine,C15H11I4NO4,776.87,4.56,3,4,92.78,5,2
Lisinopril,C21H31N3O5,405.5,1.24,4,5,132.96,12,2
Loratadine,C22H23ClN2O2,382.89,4.89,0,3,42.43,1,4
Losartan,C22H23ClN6O,422.92,4.27,2,5,92.51,8,4
Metformin,C4H11N5,129.17,-1.03,4,2,88.99,0,0
Methylphenidate,C14H19NO2,233.31,2.09,1,3,38.33,3,2
Metoprolol,C15H25NO3,267.37,1.61,2,4,50.72,9,1
Minoxidil,C9H15N5O,209.25,-0.13,2,5,95.11,1,2
Modafinil,C15H15NO2S,273.36,2.01,1,2,60.16,5,2
Morphine,C17H19NO3,285.34,1.2,2,4,52.93,0,5
Naproxen,C14H14O3,230.26,3.04,1,2,46.53,3,2
Olanzapine,C17H20N4S,312.44,3.44,1,5,30.87,0,4
Omeprazole,C17H19N3O3S,345.42,2.9,1,5,77.1,5,3
Paroxetine,C19H20FNO3,329.37,3.33,1,4,39.72,4,4
Pomalidomide,C13H11N3O4,273.25,-0.33,2,5,109.57,1,3
Prednisone,C21H26O5,358.43,1.77,2,5,91.67,2,4
Pregabalin,C8H17NO2,159.23,1.08,2,2,63.32,5,0
Propranolol,C16H21NO2,259.35,2.58,2,3,41.49,6,2
Quetiapine,C21H25N3O2S,383.52,2.86,1,6,48.3,5,4
Raloxifene,C28H27NO4S,473.59,6.08,2,6,70.0,7,5
Risperidone,C23H27FN4O2,410.49,3.59,0,5,64.16,4,5
Rosuvastatin,C22H28FN3O6S,481.55,2.4,3,7,140.92,10,2
Sertraline,C17H17Cl2N,306.24,5.18,1,1,12.03,2,3
Sildenafil,C22H30N6O4S,474.59,1.61,1,7,113.42,7,4
Simvastatin,C25H38O5,418.57,4.59,1,5,72.83,6,3
Sitagliptin,C16H15F6N5O,407.32,2.02,1,4,77.04,4,3
Tadalafil,C22H19N3O4,389.41,3.2,1,4,74.87,2,6
Tamoxifen,C26H29NO,371.52,6.0,0,2,12.47,8,3
Thalidomide,C13H10N2O4,258.23,0.09,1,4,83.55,1,3
Topiramate,C12H21NO8S,339.37,-0.4,1,8,115.54,3,3
Tramadol,C16H25NO2,263.38,2.63,1,3,32.7,4,2
Valproate,C8H16O2,144.21,2.29,1,1,37.3,5,0
Vardenafil,C23H32N6O4S,488.61,2.0,1,7,113.42,8,4
Varenicline,C13H13N3,211.27,1.84,1,3,37.81,0,4
Venlafaxine,C17H27NO2,277.41,3.04,1,3,32.7,5,2
Warfarin,C19H16O4,308.33,3.61,1,4,67.51,4,3
